municipio_distrito,casos_confirmados_totales,tasa_incidencia_acumulada_total,Densidad (Habitantes / Ha.),renta_neta_media_persona
Arganzuela,9115,134.69,239,19088
Barajas,2608,121.054,12,19026
Carabanchel,18300,164.3086,184,11679
Centro ,8567,144.37,270,18789
Chamartín,8302,129.3368,159,27634
Chamberí,8594,140.102,296,24881
Ciudad Lineal,14023,147.3229545,190,16349
Fuencarral-El Pardo,13386,123.6631818,10,20105
Hortaleza,10230,123.5231818,70,20044
Latina,15062,143.69,94,13179
Moncloa-Aravaca,7732,147.1518182,26,24025
Moratalaz,6222,149.4804545,154,15101
Puente de Vallecas,21246,205.5893182,160,10402
Retiro,6821,129.925,217,23262
Salamanca,8710,135.442,271,25770
San Blas - Canillejas,9332,134.1,72,14545
Tetuán,9858,141.7802273,297,16354
Usera,10798,175.6006818,183,10211
Vicálvaro,4434,139.7854545,21,12916
Villa de Vallecas,7029,144.7059091,22,12976
Villaverde,11396,173.8734091,77,10540
